node_id,area_m2,C_weighted,Tc_minutes,intensity_mm_hr,runoff_m3s
143,65368.98330083988,0.6,10.7,46.46,0.5062251446080364
147,314412.6451733752,0.6,19.6,31.36,1.6434987819720257
153,198787.22403331974,0.6,16.4,35.18,1.1654281742538253
154,175029.72063848106,0.6,15.7,36.31,1.0593557545187433
157,390489.2013853644,0.787,21.3,29.71,2.53498317378722
158,541755.3030097332,0.6,24.2,27.37,2.471369518512686
163,100792.7515718422,0.7,12.7,41.69,0.8171215542304429
164,318774.93886038935,0.6,19.7,31.26,1.660565518501321
167,148725.84821467727,0.13,14.7,37.83,0.2031117857634483
168,4144720.6483851057,0.513,52.9,16.45,9.722838586582883
170,725511.0402535885,0.591,27.1,25.44,3.03089867046106
171,2375774.526050071,0.545,42.7,18.91,6.798370601923199
172,70412.03618774653,0.6,11.0,45.61,0.5352319426041963
174,43660.263409504376,0.764,9.2,51.4,0.47624502170935573
175,338982.8414394965,0.651,20.2,30.78,1.8880205484931178
176,431247.73216916603,0.22,22.1,28.98,0.7620735895816368
177,801324.995912756,0.371,28.1,24.82,2.0500067539029696
178,5459200.093935486,0.699,58.8,15.35,16.285793715017604
180,1659821.2309680053,0.103,37.2,20.68,0.9838047883814233
181,155299.79778939212,0.6,14.9,37.42,0.9684989032673884
182,613725.301517285,0.297,25.4,26.53,1.3423421682130208
183,2684973.2783329324,0.186,44.8,18.34,2.540134212569063
184,1700723.2160639497,0.317,37.6,20.56,3.0831693060293692
185,25504.7848432326,0.587,7.5,58.8,0.24443215389985168
186,2536321.8442689995,0.691,43.8,18.6,9.049262479172132
187,469897.72579475946,0.194,22.9,28.36,0.7200470940087523
188,531304.5567321294,0.305,24.0,27.5,1.237230038389355
189,4093776.314846223,0.676,52.7,16.5,12.692659726987408
190,792564.472145079,0.242,28.0,24.88,1.327770354426815
192,4548.362118348469,0.6,5.0,76.24,0.0577961012305188
193,27557.296294205804,0.698,7.7,57.68,0.3081937798303573
195,163463.6281016455,0.6,15.2,36.94,1.0064246226642057
202,1775514.8549072447,0.7,38.2,20.34,7.0209592033922315
204,4702.2384828776285,0.8,5.0,76.24,0.07966854713702753
205,198292.97132586304,0.1,16.4,35.2,0.19387583061972527
206,63953.307630424,0.1,10.6,46.72,0.08299717306911351
207,1273538.288087305,0.454,33.6,22.1,3.5497807389727587
209,117513.44977234119,0.784,13.4,40.12,1.0262688728764335
210,791.3782990024072,0.6,5.0,76.24,0.010056055144832397
211,1460784.867940671,0.154,35.4,21.35,1.3340943288074676
212,1927624.2261448158,0.632,39.4,19.92,6.743271999089248
213,2316643.9633096624,0.654,42.3,19.03,8.001577368825085
214,32910.01054477945,0.8,8.2,55.17,0.40348201308910625
215,40066.88699191524,0.8,8.9,52.52,0.4676231459858614
219,47999.7259620847,0.6,9.5,50.2,0.40158503178608446
221,152584.10992965946,0.665,14.8,37.58,1.0592594276631695
223,88657.71568589468,0.722,12.0,43.05,0.765612477327688
225,3413202.0344385924,0.59,49.1,17.27,9.651461348140652
228,47272.607199263955,0.582,9.5,50.39,0.3848373311090643
229,24046.883496096856,0.6,7.3,59.68,0.23917599704199344
230,8831.366286086233,0.613,5.0,76.24,0.11461106315023266
231,508156.8283239573,0.343,23.6,27.81,1.3462093829770538
232,350423.98931144696,0.1,20.4,30.52,0.2971164733461794
234,799253.8451280725,0.596,28.1,24.83,3.288387727337328
235,55274.75363377677,0.6,10.0,48.46,0.44640416529904053
236,66448.11331099154,0.596,10.8,46.27,0.509414657040768
237,693407.0509992633,0.544,26.6,25.73,2.6945785563967832
240,50729.677291683496,0.6,9.7,49.51,0.4185901624499878
247,161326.08776113536,0.272,15.2,37.06,0.4521715369612713
248,1354.7910190094783,0.8,5.0,76.24,0.022953797973412376
249,284.8173266831717,0.8,5.0,76.24,0.004825570353125568
251,88425.49413007693,0.309,12.0,43.08,0.32741865245570284
252,88754.78997255991,0.1,12.0,43.04,0.10611439698025464
255,58766.27212110001,0.119,10.3,47.72,0.09267637657279408
261,9586813.103786575,0.697,73.1,13.34,24.740493072893113
263,1855243.8269178171,0.587,38.8,20.11,6.087195712673424
264,277601.7865037332,0.6,18.7,32.36,1.4970096339827765
265,22171.310028539727,0.6,7.1,60.9,0.22504834661719575
266,652089.9559292515,0.427,26.0,26.13,2.0188486912089028
268,755886.1163209022,0.603,27.5,25.18,3.1874978173716935
273,157121.37532153685,0.685,15.0,37.31,1.1146873794590504
274,371667.15249582316,0.247,20.9,30.08,0.7661994970740357
275,6909.686261703731,0.8,5.0,76.24,0.1170686403182459
276,8774.98243901252,0.6,5.0,76.24,0.11150382492529955
277,96658.87004428096,0.587,12.5,42.13,0.663962033382549
279,1159690.027752754,0.478,32.4,22.62,3.486628944330006
280,46742.97049405484,0.599,9.4,50.53,0.39280853132066323
282,13328.728104485146,0.6,5.8,69.17,0.15366646216591331
283,55119.86640559738,0.1,10.0,48.49,0.0742443309707264
341,53632.321603840726,0.1,9.9,48.82,0.07273695211025612
345,6487.026332255574,0.7,5.0,76.24,0.09616919035174022
348,22020.054294406476,0.7,7.0,61.01,0.26121230555036484
349,4957927.895768393,0.685,56.7,15.73,14.840963893658794
351,147825.4428761281,0.62,14.7,37.88,0.9637819902377579
354,51104.82759452777,0.7,9.7,49.42,0.4910603602238061
356,242851.68841359203,0.609,17.8,33.46,1.3746933854717671
358,1628.691939219019,0.7,5.0,76.24,0.02414511320052522
367,411986.6955933281,0.6,21.8,29.31,2.0126925131044215
372,6022032.252487496,0.259,61.1,14.98,6.489564103149697
