x,y,node_id
8738672.9,1973349.4,209
8738776.4,1973515.9,210
8718236.5,1985928.7,211
8711745.5,1983673.4,212
8720441.7,1969507.3,213
8720324.3,1969356.1,214
8720086.3,1969003.4,215
8719731.3,1968532.6,216
8735989.1,1973561.0,217
8733452.6,1973514.5,218
8733441.7,1973699.8,219
8731372.4,1974987.6,220
8730976.0,1974860.2,221
8730870.0,1974922.6,222
8730984.9,1974863.6,223
8731360.9,1974989.5,224
8730892.6,1959976.2,225
8730817.4,1960268.7,226
8730814.3,1960281.1,227
8730830.5,1960460.0,228
8736203.3,1974696.0,229
8736660.7,1975119.9,230
8744631.6,1969458.2,231
8744632.3,1969484.2,232
8717903.3,1977135.6,233
8717887.2,1977010.3,234
8717900.6,1976963.3,235
8735652.2,1959109.6,236
8738411.6,1980084.2,237
8738417.7,1980049.2,238
8738399.2,1979901.4,239
8738397.0,1979881.6,240
8738495.7,1979757.3,241
8738398.5,1979894.7,242
8738494.9,1979638.4,243
8738579.5,1979526.9,244
8738590.0,1979521.5,245
8738727.0,1979451.3,246
8738852.0,1979407.6,247
8749630.4,1957081.7,248
8749370.9,1957074.2,249
8749355.7,1957070.1,250
8749275.1,1957078.5,251
8749807.2,1957091.1,252
8749641.8,1957080.0,253
8748608.1,1955873.3,254
8748821.9,1956388.8,255
8746282.8,1988320.7,256
8746260.0,1988245.9,257
8746140.3,1988130.9,258
8746280.2,1988312.3,259
8745710.8,1987691.0,260
8745479.0,1987432.1,261
8745767.2,1987699.5,262
8713163.6,1965601.2,263
8721060.3,1966044.9,264
8721072.5,1966026.4,265
8721611.4,1965659.2,266
8719423.6,1967049.4,267
8719422.2,1967038.5,268
8719703.9,1968540.8,269
8719532.8,1968442.5,270
8719527.4,1968419.7,271
8719523.1,1968406.7,272
8719486.6,1968308.6,273
8719324.9,1967407.9,274
8719373.1,1967301.9,275
8720188.7,1969188.2,276
8720100.2,1969032.0,277
8720228.3,1969249.0,278
8727697.4,1963978.9,279
8727358.1,1964324.1,280
8732895.7,1947624.3,281
8732602.6,1947619.5,282
8733181.2,1947626.7,283
8732974.3,1947624.8,284
8732198.5,1947613.6,285
8731994.1,1947609.9,286
8732282.1,1947614.8,287
8732558.3,1947619.0,288
8731849.1,1947608.1,289
8731530.9,1947603.5,290
8731025.3,1947595.4,291
8730794.1,1947592.8,292
8731201.3,1947597.9,293
8731292.5,1947600.0,294
8731441.9,1947602.3,295
8731449.3,1947602.3,296
8728796.1,1947564.1,297
8728489.7,1947764.2,298
8728973.7,1947566.1,299
8729838.3,1947579.1,300
8729873.0,1947579.5,301
8729902.2,1947580.0,302
8729976.2,1947580.8,303
8730137.5,1947583.6,304
8730301.5,1947586.4,305
