node_id,land_type,area_m2
232,park,4933.240997338843
4,park,709.2765294677195
52,park,4366.443963880272
233,park,2533.928240802921
16,park,1065.0030508316427
43,park,172.2389769759543
4,park,565.4956358817155
233,park,665.48034988705
95,park,499.2802738977473
4,park,829.4808014037617
95,park,1102.907105691641
4,park,701.888016836961
95,park,3854.2402413706163
95,park,959.6269105994132
95,park,458.0097546013122
17,park,4706.131694805377
17,park,839.308096723754
10,park,464.1681834698492
233,park,441.8155252983079
233,park,243.68668870162762
52,park,624.4331317758091
69,park,432.6446525877742
233,park,1335.1042981229452
4,park,1786.9062310595007
4,park,495.459111616667
16,park,4204.119753556506
4,park,887.9305301609044
4,park,1907.6732652313367
52,park,35.12837898136026
95,park,3903.920131006906
33,park,722.5140038905353
52,park,3515.1187154393497
99,park,756.4472680216496
52,park,1947.8260051533177
16,park,80.31762683070254
17,park,448.23303126354153
4,park,1213.1485049844066
11,park,1756.7332708659087
95,park,47.21197343009614
16,park,679.2853894279486
16,park,415.54352755362254
95,park,650.3861731576551
5,park,974.1724945458172
95,park,3172.2122619857064
17,park,800.8503964320602
43,park,1560.7846356998784
95,park,1022.2612460601586
16,park,391.57047658488545
17,park,744.4898144190668
33,park,285.2500696979347
95,park,604.7897598040627
95,park,14624.146086115146
95,park,2088.234428413707
95,park,1375.5927942557623
95,park,811.1005371799191
95,park,3127.6689183967696
120,water,113513.07543982242
36,park,886.3631577341591
8,park,713.7819187885591
36,park,631.9264570712987
36,park,410.57167107601094
243,park,106.33587654644606
9,park,124.70120096082141
9,park,1341.9873754454175
243,park,1519.741733742089
9,park,848.4730627178401
9,park,927.7956289344966
9,park,427.7523004804409
9,park,237.73515401114253
9,park,324.2390511748107
99,park,401.81479461851836
9,commercial,2146.8458007625563
9,park,355.70924572991396
8,park,8686.505837205685
8,park,206.67352197294824
9,park,6842.139898738458
9,park,408.4326460328614
8,park,2284.996072216714
242,park,4955.358784872726
9,park,441.7013111793625
8,park,1004.7014115250876
8,park,1704.8065363767969
36,park,298.7624568060005
8,park,1162.1266308687823
8,park,373.0545386401153
9,park,1893.3778717682537
8,park,10818.433136659714
232,residential,29297.833019064477
243,residential,6331.355338420833
37,park,837.4777128329147
89,park,1888.219677744698
73,park,1007.0739860320696
32,park,1234.6317129494741
120,residential,28576.245388902462
126,park,5656.013456682305
126,park,2463.3738860940125
126,park,5057.194518023519
126,park,1378.159989263419
126,park,4304.500423684098
232,commercial,270.02769072912747
38,commercial,414.3257642336111
126,commercial,17900.04910607534
126,park,7718.379609465859
126,park,25471.30932533803
126,park,5872.397853041146
126,park,7227.57015449936
61,park,675.5153397057375
61,park,625.3816008290563
61,park,12076.511533963505
61,residential,288477.27057666966
61,park,11741.661975973482
61,park,882.4526237795562
166,park,5659.7379833619825
166,park,4857.820742435722
166,park,3229.481995606356
166,park,2742.341230011132
129,park,5038.473172272161
129,park,7173.407572770129
129,park,8210.772426894553
166,park,8194.7944114592
232,park,4271.1851604793455
26,park,9594.75539638012
26,park,4212.59863281638
62,park,1452.6598432473293
62,park,8603.14041599261
62,park,4021.43972880155
26,park,1399.0304803992776
26,park,4015.3559136765916
26,park,4380.734427847628
166,park,1120.428331734933
166,park,911.8128181760034
38,park,3042.8291630018057
129,park,8943.114839395968
129,park,6821.400236794563
227,residential,950.7845692884474
227,park,2750.982543909553
38,water,6320.924256724302
26,park,4907.057625396143
15,park,1491.8886584496145
147,water,6163.024582335527
232,commercial,6339.417108697695
147,commercial,24464.00798482176
232,park,7215.89975322962
147,commercial,23129.86743925338
232,park,912.1190886994707
232,residential,914.6785564566386
147,park,534.8743862132168
147,park,534.8736012974127
147,park,130.33178489283176
147,park,1096.1533404724614
147,park,1096.3471274215249
147,park,1096.3445854665738
147,park,1096.417474714376
147,park,1096.1192703953825
147,residential,263903.35918043804
147,park,1423.209482061343
147,park,440.7419723480742
146,park,1231.3365852528
147,water,12198.443842043936
146,park,1977.9766116219423
146,park,1692.1693673497582
61,water,104.93997031767597
26,water,141.01005470294123
26,residential,209.72306064450842
26,park,25949.52741251384
226,commercial,6612.062908690876
126,residential,190.48272649064836
98,water,11.662590564278377
98,water,113.91769456974973
0,park,75.54778309294892
178,park,1440.7392094340453
82,industrial,128016.11334643028
82,residential,35460.78878913045
97,residential,656.9856842636674
205,forest,2011.1009082994583
207,park,2896.180188354232
98,residential,172.29383774679303
226,park,665.2615504114215
232,residential,350.43819830095873
244,residential,355.27164621491534
233,park,245.84003469362793
201,residential,41.32675925449367
114,commercial,126.56374225587079
92,residential,1585.3638937446085
95,commercial,9041.644517960785
2,park,2269.434287164619
35,commercial,228.7126074164495
2,park,243.4473547755365
2,residential,446.65823766998
32,commercial,535.6890885444901
30,residential,256.13387929135524
31,residential,111.28814293039133
168,park,289.7659863342669
5,commercial,261.44492874226785
31,residential,114.78447074852222
41,residential,11887.938323301223
31,residential,754.2669874486093
2,commercial,191.0282893215737
243,park,406.10002873429454
31,residential,288.52231693456497
31,residential,834.1473212503691
8,commercial,427.38425003754173
8,commercial,736.41153607058
146,park,4824.467584909049
146,park,2891.4050707143883
146,park,744.2853216499534
146,park,6858.35948963776
178,park,1176.0502527837111
40,park,948.398978146442
40,park,774.7656351660353
40,park,4883.296406198435
95,park,797.0966295001592
95,park,949.3948444438035
95,park,421.87655974994857
95,park,2379.5276893917894
95,park,118.25498532493644
95,park,2518.376190845113
95,commercial,4206.038728883546
95,park,646.2623889705741
124,park,2383.995519335652
124,park,3265.8416733748095
124,park,1887.2105102807427
124,park,311.1588269195779
146,forest,21856.58901083638
146,park,1840.7007576503613
232,park,546.4977744932423
232,park,355.2480518347419
232,park,761.1211111267413
11,park,103.41954179099704
154,park,1322.5353942261922
152,park,406.2968291496386
4,park,941.276893322563
5,park,254.4768741316002
24,park,2465.281701802418
68,park,647.209860947009
154,park,3083.9267595520178
40,park,4427.968032406213
96,water,13748.677962987478
40,water,3070.1374930551324
95,water,4678.258271779006
40,water,28086.660424370013
40,forest,253.3872920031887
40,forest,806.2811639325693
40,forest,251.62884644941866
40,water,337.26444116268266
40,water,303.77047594290025
40,water,375.9689338292569
40,water,509.6123662147603
68,park,1536.4704693218291
1,park,1489.0540434207537
2,park,1043.0211978678062
40,water,1757.9758179346131
40,water,1534.019560099629
40,water,203.4571142403661
40,water,532.727737374663
30,park,3065.820145137008
207,park,4729.795619876717
207,park,9889.865613308639
207,park,17631.329540913557
207,park,11839.617097140472
207,park,1503.4460878968582
11,park,1901.438994374826
233,park,5978.917868883785
41,park,910.6316421938718
6,park,1882.6798050435632
7,park,529.2845664574575
7,park,2426.1267126429316
89,park,888.4010765169493
163,park,897.7529782696092
8,park,1740.7899121135156
8,park,1231.3083660851958
105,park,2695.5801871349026
105,park,1469.4271526456068
12,park,554.9039765189034
13,park,1019.456242776053
62,park,1404.9145635606587
26,park,1567.850385256122
26,park,4108.327061099484
26,park,7340.6039465994645
26,park,1760.6615058238758
62,park,1897.9308980577482
61,park,5196.948824598472
127,park,859.9105253172506
127,park,1007.0734772912492
127,park,324.21303201732917
127,park,2761.4449827549433
127,park,2410.3381839497224
127,park,4909.086121957005
127,park,2210.364233301686
127,park,2570.074588237609
127,park,3710.2277046706977
127,park,971.2769596506982
127,park,3662.4855220269064
127,park,1152.0264878981586
127,park,7546.3388193340115
117,park,1022.790840700877
117,park,240.43782280606624
117,park,15410.147903852809
0,park,134.276034517469
233,park,1810.4312333062444
233,park,9505.568346095126
95,park,322.0428914169345
95,park,322.0425657887105
95,park,10070.965303396613
233,park,1555.283781759961
232,park,658.7903707883995
232,park,230.09930785765584
232,park,1276.9126000000203
117,park,3349.601675203477
117,park,333.1460598447633
117,park,671.3927615926743
117,park,569.9574778962987
