from,to,length_m,slope
365,366,4.775606155395508,0.002
367,368,135.38540318965167,0.002
368,369,101.95080022401076,0.002
369,370,33.27483425043366,0.002
370,364,16.828102097937848,0.002
371,372,251.80743933537764,0.002
374,373,497.3165236030047,0.014075542773615791
375,376,1383.0562144564465,0.36947160546241975
99,377,15.420727801945716,0.002
378,379,7.5180404925518864,0.002
377,378,7.494732544937113,0.002
380,381,23.38047269986148,0.002
382,96,12.182908946218443,0.002
381,382,7.361006586282135,0.002
383,230,696.4853395973332,0.002
383,229,11.668860447508848,0.002
384,385,246.3774736965707,0.002
386,387,123.28858672569449,0.002
388,389,552.8778070118991,0.002
389,390,47.00158853911395,0.002
390,391,207.7091017731861,0.002
392,393,73.55155858681549,0.002
393,394,21.8469589105422,0.002
395,396,113.46030858918569,0.002
397,398,35.8573656168066,0.002
399,262,185.36703719497524,0.002
400,399,12.145840520711603,0.002
401,400,206.1165094368168,0.002
85,401,18.083385709027123,0.002
402,403,1439.7973087800824,0.006945422066716351
404,405,1432.6352593920012,0.002
407,406,581.5760397690012,0.01719465610029592
408,409,219.134245399646,0.002
409,410,13.79508975633729,0.002
410,98,12.865817907525122,0.002
394,411,682.1315588439409,0.002
411,412,3.8987126785157353,0.002
412,413,66.14900431070352,0.002
413,414,4.75350952233338,0.002
415,416,743.2328877999698,0.002
417,415,42.84140026778648,0.002
418,419,675.9813063457059,0.002
419,50,12.56851172558725,0.002
414,420,548.9676179250581,0.014572808556974145
420,254,7.701808201620876,0.002
421,219,1077.9518057457817,0.005566111553427841
21,421,38.794350385701485,0.002
263,422,13039.233722073646,0.041566859798092874
423,417,254.2137863427276,0.002
405,423,65.19240733131842,0.002
424,425,455.0599267465225,0.002
425,426,380.2406317217092,0.002
426,424,11.887299869002634,0.002
427,428,594.1346470304984,0.025246802345176164
429,430,111.71634751812763,0.002
430,427,12.623219777186778,0.002
431,432,312.0212500324949,0.002
433,434,6135.247538986188,0.07579156293942109
435,436,336.8334092175149,0.002
437,438,252.76421059664168,0.0316500503814059
439,440,107.35682615124898,0.002
438,439,10.991993038531945,0.8187778111258712
441,442,647.9705829709343,0.018519359235384114
72,441,11.655814851739494,0.002
444,443,516.4496859110984,0.015490376348833948
445,446,784.2028140874236,0.7434301299701874
447,445,1098.8554997504812,0.002730113286670736
448,447,11.55192317106393,0.002
449,448,572.7518729833462,0.002
444,449,12.228697193088806,0.002
450,451,346.08954213291594,0.014447128246596212
451,443,12.446464097865311,0.002
453,452,241.37745215200133,2.2371600793099296
455,454,1990.1375091341504,0.007034689781858834
456,457,116.05671112677616,0.002
457,63,5.531286663468885,0.002
458,459,102.70305921981269,0.002
458,64,12.904415618980796,0.9299142521688071
460,461,85.36205196499088,0.002
461,36,12.41550201524152,0.002
