node_id,x,y,elevation_m
93,8742145.5,1964776.0,469
94,8747118.2,1968772.1,485
95,8728212.5,1968570.5,543
96,8729460.0,1967824.0,543
97,8732600.9,1983022.2,577
98,8732316.7,1983434.0,582
99,8733529.1,1974404.9,534
100,8736015.6,1974058.1,527
101,8736001.3,1974025.3,527
102,8735993.5,1973765.5,528
103,8736231.3,1972270.8,522
104,8736176.8,1972243.9,521
105,8736534.0,1972891.4,520
106,8736448.3,1972824.3,519
107,8736266.7,1973196.1,522
108,8736316.5,1973202.9,522
109,8736322.5,1972643.8,519
110,8736297.8,1972631.2,521
111,8735991.6,1973308.5,523
112,8736004.5,1973293.2,522
113,8736199.6,1972026.1,518
114,8736718.7,1970406.4,512
115,8734488.9,1970992.7,518
116,8717926.8,1976872.3,562
117,8717987.8,1976663.9,562
118,8722823.0,1969350.2,558
119,8722840.8,1969400.4,558
120,8720162.5,1986286.7,559
121,8719935.0,1986086.0,551
122,8720157.1,1986334.4,560
123,8720154.7,1986392.9,557
124,8725280.5,1966922.1,523
125,8724871.8,1965594.3,520
126,8718155.0,1978918.8,553
127,8718288.0,1978553.1,555
128,8718264.4,1978516.3,554
129,8717903.5,1977148.4,557
130,8745416.6,1969058.7,483
131,8745452.6,1968881.5,489
132,8745741.7,1968444.6,482
133,8745165.8,1969374.5,490
134,8745338.7,1969251.6,487
135,8745344.3,1969238.3,487
136,8745416.6,1969072.2,483
137,8746149.0,1968349.9,479
138,8744649.8,1969456.2,497
139,8744973.2,1969383.6,492
140,8744984.2,1969383.6,492
141,8745159.8,1969383.9,490
142,8746160.9,1968347.4,479
143,8746980.3,1967973.1,475
144,8728274.9,1989966.7,620
145,8728454.1,1990119.3,619
146,8722905.8,1969425.9,561
147,8720441.7,1969507.3,560
148,8720324.3,1969356.1,559
149,8720086.3,1969003.4,549
150,8719731.3,1968532.6,544
151,8735989.1,1973561.0,524
152,8731372.4,1974987.6,539
153,8730976.0,1974860.2,546
154,8730870.0,1974922.6,545
155,8730984.9,1974863.6,546
156,8731360.9,1974989.5,539
157,8730892.6,1959976.2,526
158,8730817.4,1960268.7,522
159,8730814.3,1960281.1,522
160,8730830.5,1960460.0,518
161,8736203.3,1974696.0,531
162,8736660.7,1975119.9,536
163,8744631.6,1969458.2,497
164,8744632.3,1969484.2,498
165,8717903.3,1977135.6,557
166,8717887.2,1977010.3,560
167,8717900.6,1976963.3,561
168,8738411.6,1980084.2,576
169,8738417.7,1980049.2,575
170,8738399.2,1979901.4,571
171,8738397.0,1979881.6,570
172,8738495.7,1979757.3,570
173,8738398.5,1979894.7,570
174,8738494.9,1979638.4,569
175,8738579.5,1979526.9,569
176,8738590.0,1979521.5,569
177,8738727.0,1979451.3,563
178,8738852.0,1979407.6,560
179,8746282.8,1988320.7,569
180,8746260.0,1988245.9,569
181,8746140.3,1988130.9,566
182,8746280.2,1988312.3,569
183,8745710.8,1987691.0,569
